name,chinese,english,math,history,health
student1,86,61,58,98,74
student2,99,86,79,88,51
student3,70,68,57,96,71
student4,81,67,61,68,63
student5,60,86,80,83,68
student6,92,73,64,82,56
student7,98,84,64,75,99
student8,84,63,82,100,62
student9,85,78,85,100,51
student10,91,60,98,97,63
student11,64,88,71,86,57
student12,75,69,63,52,53
student13,68,52,64,90,94
student14,79,59,89,77,98
student15,58,84,62,60,98
student16,97,80,89,77,52
student17,63,71,63,74,55
student18,61,61,70,98,50
student19,65,56,52,82,78
student20,76,68,94,71,70
student21,64,97,58,63,69
student22,99,74,89,72,86
student23,66,67,65,82,61
student24,62,82,99,59,98
student25,78,83,58,78,89
student26,66,79,98,91,86
student27,72,99,91,80,99
student28,66,62,58,99,68
student29,86,92,88,61,51
student30,85,76,80,69,54
student31,78,93,91,87,91
student32,98,78,73,63,77
student33,58,81,58,87,72
student34,95,60,85,51,72
student35,66,91,95,68,89
student36,97,55,59,74,88
student37,56,70,80,62,78
student38,56,92,98,68,89
student39,89,60,89,68,50
student40,91,62,97,57,67
student41,74,53,60,53,95
student42,50,92,70,94,79
student43,53,70,99,93,90
student44,90,50,55,74,73
student45,88,73,57,58,50
student46,93,81,84,55,98
student47,87,65,58,79,94
student48,83,85,85,61,83
student49,85,84,99,92,92
student50,72,51,81,90,97
